source,processor,language
https://www.pinlicheng.com/question/zlwd,fuqiang,zh
https://www.cnipa.gov.cn/jact/front/mailpublist.do?sysid=16,fuqiang,zh
https://zscqj.cq.gov.cn/zwgk_232/zczxwdk/,fuqiang,zh
http://scjg.hangzhou.gov.cn/col/col1229574855/index.html,fuqiang,zh
https://www.marks-clerk.com/zh-hans/%E8%A7%82%E7%82%B9/%E8%A7%81%E8%A7%A3/%E9%97%AE%E7%AD%94-%E6%AC%A7%E6%B4%B2%E5%8D%95%E4%B8%80%E4%B8%93%E5%88%A9%E5%92%8C%E7%BB%9F%E4%B8%80%E4%B8%93%E5%88%A9%E6%B3%95%E9%99%A2/,fuqiang,zh
https://www.texunip.com/article/wenda/,fuqiang,zh
https://www.wipo.int/edocs/pubdocs/zh/wipo_pub_1056.pdf,minghuan,zh
https://kyc.hsu.edu.cn/_upload/article/files/d1/2b/12be920a4b49b59f9913c44094c4/2d70474a-31e5-4fe8-ab09-f8bb8f08ee82.pdf,shiwen,zh
https://kyy.bupt.edu.cn/__local/0/75/C4/7487C790ECD665806021DC36FD2_427D287F_832DB.pdf?e=.pdf,shiwen,zh
http://www.gov.cn/xinwen/2021-04/25/5602104/files/9cfbfa3fed814e1f9d04e56959ed13fb.pdf,shiwen,zh
http://www.ipo.dicp.ac.cn/info/1032/2680.htm,minghuan,zh
https://hb.hainanu.edu.cn/zscqcg/info/1157/1551.htm,minghuan,zh
http://www.evcrrc.com/news/233.html,minghuan,zh
https://eduai.baidu.com/view/3d0ed9b566ce0508763231126edb6f1aff00712b,fuqiang,zh
https://eduai.baidu.com/view/b2d3491e964bcf84b9d57ba0,fuqiang,zh
https://eduai.baidu.com/view/e5f20c61f4ec4afe04a1b0717fd5360cba1a8d35,fuqiang,zh
https://kycyc.yctei.cn/2017/0531/c1427a30002/page.htm,minghuan,zh
https://eduai.baidu.com/view/dcb16222f48a6529647d27284b73f242336c3122,fuqiang,zh
https://mp.weixin.qq.com/s?__biz=MzA3MTExMzIyMg==&mid=2652052792&idx=1&sn=e8e0c45d2cda379ad26f7521cf4c08cc&chksm=84d53251b3a2bb47f73472c250768d3a27586a7bc0b6a98f3fd402a8770d853e69195c7a059f&scene=27,minghuan,zh
https://www.government.nl/topics/intellectual-property/question-and-answer,fuqiang,en
https://www.wipo.int/edocs/pubdocs/en/wipo_pub_1056.pdf,minghuan,en
https://www.wipo.int/patents/en/faq_patents.html,fuqiang,en
https://www.researchgate.net/search/question?q=patent,fuqiang,en
https://www.upcounsel.com/patent-questions-and-answers,fuqiang,en
https://www.uspto.gov/help/patent-help#type-browse-faqs_3246,fuqiang,en
https://www.wipo.int/classifications/ipc/en/faq/,minghuan,en
https://www.wipo.int/edocs/pubdocs/en/wipo_pub_450_2020.pdf,shiwen,en
https://www.wipo.int/ip-outreach/en/ipday/2023/faq-world-ip-day.html,minghuan,en
https://www.uspto.gov/patents/basics/essentials#questions,shiwen,en
https://about.lens.org/category/faq/,shiwen,en
https://www.rkdewan.com/faqs.php,minghuan,en
https://www.rkdewan.com/trademarkfaq.php,minghuan,en
https://www.rkdewan.com/designfaq.php,minghuan,en
https://www.rkdewan.com/copyrightfaq.php,minghuan,en
https://www.wipo.int/edocs/pubdocs/es/wipo_pub_1056.pdf,minghuan,es
https://www.sansokan.jp/akinai/faq/detail.san?H_FAQ_CL=0&H_FAQ_NO=1461,fuqiang,jp
https://www.kjpaa.jp/beginner/qaindex,fuqiang,jp
http://www.sakae-pat.jp/faq/index.html,minghuan,jp
https://jp.aigipat.com/faq/andSoOn.html,minghuan,jp
https://www.jfc.go.jp/n/finance/keiei/nouhau1.html,minghuan,jp
https://narapatent.com/faq/,minghuan,jp
https://airimaq.kyushu-u.ac.jp/patent/patent-forms-list/#,minghuan,jp
https://www.ondatechno.com/jp/search_analysis/faq/,minghuan,jp
http://s-c-ip.com/faq%E7%89%B9%E8%A8%B1/,minghuan,jp
https://www.isokanet.com/tokususu/faq.html,minghuan,jp
https://www.primeworks-ip.com/en/faq/,minghuan,jp
https://shizuoka-ipc.gr.jp/faq/,minghuan,jp
