source,processor,language,,,,,,,,,,,,,,,,,,,
http://epaper.iprchn.com/zscqb/h5/html5/2023-04/21/content_27601_7600799.htm,minghuan,ZH,,,,,,,,,,,,,,,,,,,
https://eduai.baidu.com/view/6f7c32b0d7d8d15abe23482fb4daa58da0111cfe,fuqiang,ZH,,,,,,,,,,,,,,,,,,,
https://www.juxuewen.com/question/1159.html,minghuan,ZH,,,,,,,,,,,,,,,,,,,
https://eduai.baidu.com/view/9c690b1d29f90242a8956bec0975f46527d3a7c9,fuqiang,ZH,,,,,,,,,,,,,,,,,,,
https://wenku.baidu.com/view/daea1b562179168884868762caaedd3383c4b5d2.html?_wkts_=1683278279098,shiwen,ZH,,,,,,,,,,,,,,,,,,,
http://www.dxh.gov.cn/hdjl/zxdc/zxdcxq/index.shtml?/personalCenter/answerSheet/answerSheet.html?metadataId=ff80808180b79f8a01830b603e8001f7&siteId=43,minghuan,ZH,,,,,,,,,,,,,,,,,,,
http://guangxi.china.com.cn/2022-06/17/content_42002807.html,minghuan,ZH,,,,,,,,,,,,,,,,,,,
http://www.educhenggong.com/Uploads/attached/file/20210324/1616572571695330.pdf,minghuan,ZH,,,,,,,,,,,,,,,,,,,
https://www.gov.cn/guoqing/2021-10/29/content_5647633.htm,shiwen,ZH,,,,,,,,,,,,,,,,,,,
https://www.gov.cn/zhengce/2020-12/26/content_5573623.htm,shiwen,ZH,,,,,,,,,,,,,,,,,,,
https://www.gov.cn/gongbao/content/2000/content_60431.htm,shiwen,ZH,,,,,,,,,,,,,,,,,,,
https://www.gov.cn/zhengce/2020-12/26/content_5574514.htm,shiwen,ZH,,,,,,,,,,,,,,,,,,,
https://www.gov.cn/zhengce/2020-12/26/content_5573535.htm,shiwen,ZH,,,,,,,,,,,,,,,,,,,
https://www.gov.cn/zhengce/2020-12/26/content_5573535.htm,shiwen,ZH,,,,,,,,,,,,,,,,,,,
https://www.gov.cn/xinwen/2017-11/05/content_5237325.htm,shiwen,ZH,,,,,,,,,,,,,,,,,,,
